"date","deaths_total","death_covid","death_covid_contrib","death_unknown_missing"
2020-04-01,15,10,2,3
2020-04-02,28,21,3,4
2020-04-03,22,14,2,6
2020-04-04,29,22,2,5
2020-04-05,28,19,2,7
2020-04-06,30,22,5,3
2020-04-07,35,27,6,2
2020-04-08,38,29,5,4
2020-04-09,42,29,5,8
2020-04-10,36,30,3,3
2020-04-11,44,32,8,4
2020-04-12,47,33,7,7
2020-04-13,50,31,7,12
2020-04-14,44,32,7,5
2020-04-15,60,40,7,13
2020-04-16,56,37,8,11
2020-04-17,54,31,11,12
2020-04-18,56,33,13,10
2020-04-19,85,65,8,12
2020-04-20,56,35,9,12
2020-04-21,65,47,11,7
2020-04-22,67,45,12,10
2020-04-23,59,42,7,10
2020-04-24,62,43,11,8
2020-04-25,68,37,17,14
2020-04-26,63,47,7,9
2020-04-27,67,45,16,6
2020-04-28,48,28,13,7
2020-04-29,67,43,13,11
2020-04-30,62,43,11,8
2020-05-01,63,46,12,5
2020-05-02,50,35,11,4
2020-05-03,73,46,15,12
2020-05-04,46,34,4,8
2020-05-05,40,27,11,2
2020-05-06,42,28,8,6
2020-05-07,43,26,11,6
2020-05-08,38,26,5,7
2020-05-09,39,23,9,7
2020-05-10,41,25,12,4
2020-05-11,38,28,6,4
2020-05-12,34,20,10,4
2020-05-13,27,21,4,2
2020-05-14,27,20,4,3
2020-05-15,31,22,7,2
2020-05-16,31,22,6,3
2020-05-17,25,18,7,0
2020-05-18,26,20,2,4
2020-05-19,27,17,6,4
2020-05-20,19,14,4,1
2020-05-21,26,16,7,3
2020-05-22,20,18,1,1
2020-05-23,25,15,5,5
2020-05-24,24,17,4,3
2020-05-25,29,20,3,6
2020-05-26,39,30,6,3
2020-05-27,27,20,1,6
2020-05-28,19,14,1,4
2020-05-29,25,20,4,1
2020-05-30,19,14,4,1
2020-05-31,10,9,1,0
2020-06-01,12,9,2,1
2020-06-02,10,8,2,0
2020-06-03,16,9,3,4
2020-06-04,18,10,4,4
2020-06-05,17,10,4,3
2020-06-06,9,8,1,0
2020-06-07,9,8,0,1
2020-06-08,7,4,1,2
2020-06-09,15,10,2,3
2020-06-10,5,5,0,0
2020-06-11,6,4,1,1
2020-06-12,5,2,1,2
2020-06-13,11,10,0,1
2020-06-14,8,4,2,2
2020-06-15,6,4,1,1
2020-06-16,4,4,0,0
2020-06-17,4,2,1,1
2020-06-18,5,4,1,0
2020-06-19,5,2,1,2
2020-06-20,6,4,0,2
2020-06-21,4,3,1,0
2020-06-22,7,4,3,0
2020-06-23,9,7,0,2
2020-06-24,6,5,1,0
2020-06-25,3,3,0,0
2020-06-26,4,3,1,0
2020-06-27,3,3,0,0
2020-06-28,4,3,1,0
2020-06-29,5,4,0,1
2020-06-30,1,1,0,0
2020-07-01,2,2,0,0
2020-07-02,2,1,1,0
2020-07-03,3,1,1,1
2020-07-04,1,0,1,0
2020-07-05,1,1,0,0
2020-07-06,7,4,2,1
2020-07-07,4,3,1,0
2020-07-08,3,2,1,0
2020-07-09,2,2,0,0
2020-07-10,5,4,0,1
2020-07-11,3,3,0,0
2020-07-12,0,0,0,0
2020-07-13,4,3,1,0
2020-07-14,2,1,1,0
2020-07-15,4,2,1,1
2020-07-16,3,3,0,0
2020-07-17,3,3,0,0
2020-07-18,3,3,0,0
2020-07-19,1,1,0,0
2020-07-20,1,1,0,0
2020-07-21,1,0,0,1
2020-07-22,2,1,0,1
2020-07-23,1,1,0,0
2020-07-24,2,1,1,0
2020-07-25,2,1,0,1
2020-07-26,3,3,0,0
