"","date","hosp_for_covid","hosp_other_conditions","icu_for_covid","icu_other_conditions","deaths_total","death_covid","death_covid_contrib","death_unknown_missing","total_death_level"
"1","2022-01-10",0.5302,0.4698,0.7955,0.2045,49,35,6,8,5
"2","2022-01-11",0.5395,0.4605,0.8279,0.1721,51,32,11,8,6
"3","2022-01-12",0.5468,0.4532,0.8307,0.1693,32,16,7,9,4
"4","2022-01-13",0.545,0.455,0.8198,0.1802,49,29,13,7,5
"5","2022-01-14",0.5277,0.4723,0.8027,0.1973,45,31,12,2,5
"6","2022-01-15",0.5308,0.4692,0.7942,0.2058,62,47,11,4,6
"7","2022-01-16",0.5224,0.4776,0.7899,0.2101,61,42,14,5,6
"8","2022-01-17",0.5274,0.4726,0.795,0.205,59,37,19,3,6
"9","2022-01-18",0.5276,0.4724,0.8166,0.1834,56,38,12,6,6
"10","2022-01-19",0.5411,0.4589,0.8253,0.1747,54,42,8,4,6
"11","2022-01-20",0.5486,0.4514,0.8115,0.1885,66,36,21,9,6
"12","2022-01-21",0.5414,0.4586,0.8167,0.1833,63,40,15,8,6
"13","2022-01-22",0.566,0.434,0.8189,0.1811,82,51,19,12,6
"14","2022-01-23",0.5559,0.4441,0.7954,0.2046,84,54,16,14,6
"15","2022-01-24",0.5588,0.4412,0.8327,0.1673,50,36,8,6,5
"16","2022-01-25",0.5539,0.4461,0.8404,0.1596,68,46,11,11,6
"17","2022-01-26",0.5564,0.4436,0.824,0.176,63,45,10,8,6
"18","2022-01-27",0.5613,0.4387,0.8136,0.1864,51,36,7,8,6
"19","2022-01-28",0.5537,0.4463,0.8087,0.1913,52,35,12,5,6
"20","2022-01-29",0.5454,0.4546,0.8091,0.1909,55,36,11,8,6
"21","2022-01-30",0.5434,0.4566,0.8088,0.1912,60,41,14,5,6
"22","2022-01-31",0.5586,0.4414,0.8248,0.1752,51,39,8,4,6
"23","2022-02-01",0.5503,0.4497,0.8206,0.1794,43,31,7,5,5
"24","2022-02-02",0.563,0.437,0.8256,0.1744,48,29,13,6,5
"25","2022-02-03",0.5633,0.4367,0.8253,0.1747,52,32,12,8,6
"26","2022-02-04",0.5435,0.4565,0.8345,0.1655,49,35,8,6,5
"27","2022-02-05",0.5431,0.4569,0.7976,0.2024,46,31,12,3,5
