"date","hosp_for_covid","hosp_other_conditions","icu_for_covid","icu_other_conditions"
"2022-01-10",.5302,.4698,.7955,.2045
"2022-01-11",.5395,.4605,.8279,.1721
"2022-01-12",.5468,.4532,.8307,.1693
"2022-01-13",.5450,.4550,.8198,.1802
"2022-01-14",.5277,.4723,.8027,.1973
"2022-01-15",.5308,.4692,.7942,.2058
"2022-01-16",.5224,.4776,.7899,.2101
"2022-01-17",.5274,.4726,.7950,.2050
"2022-01-18",.5276,.4724,.8166,.1834
"2022-01-19",.5411,.4589,.8253,.1747
"2022-01-20",.5486,.4514,.8115,.1885
"2022-01-21",.5414,.4586,.8167,.1833
"2022-01-22",.5660,.4340,.8189,.1811
"2022-01-23",.5559,.4441,.7954,.2046
"2022-01-24",.5588,.4412,.8327,.1673
"2022-01-25",.5539,.4461,.8404,.1596
"2022-01-26",.5564,.4436,.8240,.1760
"2022-01-27",.5613,.4387,.8136,.1864
"2022-01-28",.5537,.4463,.8087,.1913
"2022-01-29",.5454,.4546,.8091,.1909
"2022-01-30",.5434,.4566,.8088,.1912
"2022-01-31",.5586,.4414,.8248,.1752
"2022-02-01",.5503,.4497,.8206,.1794
"2022-02-02",.5630,.4370,.8256,.1744
"2022-02-03",.5633,.4367,.8253,.1747
"2022-02-04",.5435,.4565,.8345,.1655
"2022-02-05",.5431,.4569,.7976,.2024
"2022-02-06",.5447,.4553,.7837,.2163
"2022-02-07",.5487,.4513,.8010,.1990
"2022-02-08",.5586,.4414,.8168,.1832
"2022-02-09",.5585,.4415,.8028,.1972
"2022-02-10",.5526,.4474,.7614,.2386
"2022-02-11",.5368,.4632,.8025,.1975
"2022-02-12",.5432,.4568,.8082,.1918
"2022-02-13",.5470,.4530,.8106,.1894
"2022-02-14",.5311,.4689,.8185,.1815
"2022-02-15",.5393,.4607,.7964,.2036
"2022-02-16",.5399,.4601,.8161,.1839
"2022-02-17",.5207,.4793,.8030,.1970
"2022-02-18",.5065,.4935,.8065,.1935
"2022-02-19",.5008,.4992,.7940,.2060
"2022-02-20",.5089,.4911,.8634,.1366
"2022-02-21",.5115,.4885,.7971,.2029
"2022-02-22",.4925,.5075,.8038,.1962
"2022-02-23",.4911,.5089,.7750,.2250
"2022-02-24",.4883,.5117,.7755,.2245
"2022-02-25",.4857,.5143,.8011,.1989
"2022-02-26",.4596,.5404,.8171,.1829
"2022-02-27",.4442,.5558,.8408,.1592
"2022-02-28",.4519,.5481,.7836,.2164
"2022-03-01",.4542,.5458,.8026,.1974
"2022-03-02",.4441,.5559,.8239,.1761
"2022-03-03",.4495,.5505,.8082,.1918
"2022-03-04",.4422,.5578,.7919,.2081
"2022-03-05",.4389,.5611,.7692,.2308
"2022-03-06",.4353,.5647,.7609,.2391
"2022-03-07",.4239,.5761,.7576,.2424
"2022-03-08",.4401,.5599,.8168,.1832
"2022-03-09",.4537,.5463,.8106,.1894
"2022-03-10",.4701,.5299,.7895,.2105
"2022-03-11",.4648,.5352,.7578,.2422
"2022-03-12",.4634,.5366,.7692,.2308
"2022-03-13",.4831,.5169,.7913,.2087
"2022-03-14",.4804,.5196,.7805,.2195
"2022-03-15",.4921,.5079,.7698,.2302
"2022-03-16",.4670,.5330,.7857,.2143
"2022-03-17",.4721,.5279,.7544,.2456
"2022-03-18",.4525,.5475,.7838,.2162
"2022-03-19",.4743,.5257,.7981,.2019
"2022-03-20",.4722,.5278,.7700,.2300
"2022-03-21",.4684,.5316,.7870,.2130
"2022-03-22",.4589,.5411,.7156,.2844
"2022-03-23",.4653,.5347,.7037,.2963
"2022-03-24",.4532,.5468,.7900,.2100
"2022-03-25",.4660,.5340,.7677,.2323
"2022-03-26",.4797,.5203,.7553,.2447
"2022-03-27",.4812,.5188,.7778,.2222
"2022-03-28",.4688,.5313,.7708,.2292
"2022-03-29",.4691,.5309,.7188,.2813
"2022-03-30",.4918,.5082,.7320,.2680
"2022-03-31",.4772,.5228,.7364,.2636
"2022-04-01",.4864,.5136,.7103,.2897
"2022-04-02",.4638,.5362,.6893,.3107
"2022-04-03",.4798,.5202,.7264,.2736
"2022-04-04",.4805,.5195,.6796,.3204
"2022-04-05",.4575,.5425,.6759,.3241
"2022-04-06",.4622,.5378,.6952,.3048
"2022-04-07",.4668,.5332,.6604,.3396
"2022-04-08",.4567,.5433,.6422,.3578
"2022-04-09",.4645,.5355,.6579,.3421
"2022-04-10",.4336,.5664,.6569,.3431
"2022-04-11",.4431,.5569,.6429,.3571
"2022-04-12",.4572,.5428,.6372,.3628
"2022-04-13",.4664,.5336,.6083,.3917
"2022-04-14",.4516,.5484,.6491,.3509
"2022-04-15",.4507,.5493,.6417,.3583
"2022-04-16",.4564,.5436,.6047,.3953
"2022-04-17",.4431,.5569,.6466,.3534
"2022-04-18",.4444,.5556,.6279,.3721
"2022-04-19",.4468,.5532,.6357,.3643
"2022-04-20",.4550,.5450,.5935,.4065
"2022-04-21",.4558,.5442,.6181,.3819
"2022-04-22",.4587,.5413,.6296,.3704
"2022-04-23",.4570,.5430,.6641,.3359
"2022-04-24",.4422,.5578,.6846,.3154
"2022-04-25",.4404,.5596,.6541,.3459
"2022-04-26",.4524,.5476,.6500,.3500
"2022-04-27",.4540,.5460,.6568,.3432
"2022-04-28",.4507,.5493,.6647,.3353
"2022-04-29",.4361,.5639,.6944,.3056
"2022-04-30",.4144,.5856,.6429,.3571
"2022-05-01",.4015,.5985,.7008,.2992
"2022-05-02",.4074,.5926,.6441,.3559
"2022-05-03",.4288,.5712,.6507,.3493
"2022-05-04",.4311,.5689,.6500,.3500
"2022-05-05",.4236,.5764,.6549,.3451
"2022-05-06",.4165,.5835,.6159,.3841
"2022-05-07",.4287,.5713,.6812,.3188
"2022-05-08",.4136,.5864,.6875,.3125
"2022-05-09",.4117,.5883,.6667,.3333
"2022-05-10",.4075,.5925,.6385,.3615
"2022-05-11",.4006,.5994,.6179,.3821
"2022-05-12",.3977,.6023,.6111,.3889
"2022-05-13",.3984,.6016,.6126,.3874
"2022-05-14",.3932,.6068,.6577,.3423
"2022-05-15",.3872,.6128,.6757,.3243
"2022-05-16",.3773,.6227,.6449,.3551
"2022-05-17",.3852,.6148,.6606,.3394
"2022-05-18",.4018,.5982,.5909,.4091
"2022-05-19",.3934,.6066,.6226,.3774
"2022-05-20",.3976,.6024,.5429,.4571
"2022-05-21",.3821,.6179,.4950,.5050
"2022-05-22",.4006,.5994,.5258,.4742
"2022-05-23",.3883,.6117,.5977,.4023
"2022-05-24",.4194,.5806,.6818,.3182
"2022-05-25",.4116,.5884,.6477,.3523
"2022-05-26",.4185,.5815,.6000,.4000
"2022-05-27",.4107,.5893,.6082,.3918
"2022-05-28",.4009,.5991,.6526,.3474
"2022-05-29",.3967,.6033,.6667,.3333
"2022-05-30",.4085,.5915,.6829,.3171
"2022-05-31",.4067,.5933,.6786,.3214
"2022-06-01",.4134,.5866,.6579,.3421
"2022-06-02",.4167,.5833,.6757,.3243
"2022-06-03",.4239,.5761,.6154,.3846
"2022-06-04",.4060,.5940,.7397,.2603
"2022-06-05",.4029,.5971,.7000,.3000
"2022-06-06",.4227,.5773,.6825,.3175
"2022-06-07",.3972,.6028,.6812,.3188
"2022-06-08",.4255,.5745,.7119,.2881
"2022-06-09",.4196,.5804,.6393,.3607
"2022-06-10",.4199,.5801,.6500,.3500
"2022-06-11",.3974,.6026,.6346,.3654
"2022-06-12",.4036,.5964,.5660,.4340
"2022-06-13",.4162,.5838,.6364,.3636
"2022-06-14",.4258,.5742,.5536,.4464
"2022-06-15",.4297,.5703,.5263,.4737
"2022-06-16",.4297,.5703,.5536,.4464
"2022-06-17",.4156,.5844,.5660,.4340
"2022-06-18",.4415,.5585,.5833,.4167
"2022-06-19",.4336,.5664,.6538,.3462
"2022-06-20",.4119,.5881,.6000,.4000
"2022-06-21",.3964,.6036,.5789,.4211
"2022-06-22",.4292,.5708,.6042,.3958
"2022-06-23",.4259,.5741,.6111,.3889
"2022-06-24",.4172,.5828,.6102,.3898
"2022-06-25",.4075,.5925,.5385,.4615
"2022-06-26",.3976,.6024,.6250,.3750
"2022-06-27",.4288,.5712,.6226,.3774
"2022-06-28",.4450,.5550,.6600,.3400
"2022-06-29",.3985,.6015,.6981,.3019
"2022-06-30",.3990,.6010,.6226,.3774
"2022-07-01",.4051,.5949,.5741,.4259
"2022-07-02",.4228,.5772,.6393,.3607
"2022-07-03",.4337,.5663,.6515,.3485
"2022-07-04",.4417,.5583,.6087,.3913
"2022-07-05",.4267,.5733,.6111,.3889
"2022-07-06",.4331,.5669,.6000,.4000
"2022-07-07",.4384,.5616,.6081,.3919
"2022-07-08",.4280,.5720,.6575,.3425
"2022-07-09",.4225,.5775,.6479,.3521
"2022-07-10",.4200,.5800,.6000,.4000
"2022-07-11",.4491,.5509,.6377,.3623
"2022-07-12",.4525,.5475,.6164,.3836
"2022-07-13",.4415,.5585,.6203,.3797
"2022-07-14",.4592,.5408,.5543,.4457
"2022-07-15",.4562,.5438,.5765,.4235
"2022-07-16",.4387,.5613,.5745,.4255
"2022-07-17",.4255,.5745,.6163,.3837
"2022-07-18",.4220,.5780,.6235,.3765
"2022-07-19",.4282,.5718,.6354,.3646
"2022-07-20",.4264,.5736,.5403,.4597
"2022-07-21",.4042,.5958,.5577,.4423
"2022-07-22",.3992,.6008,.5714,.4286
"2022-07-23",.4009,.5991,.6176,.3824
"2022-07-24",.3952,.6048,.6277,.3723
"2022-07-25",.3939,.6061,.6000,.4000
"2022-07-26",.3948,.6052,.6122,.3878
"2022-07-27",.3744,.6256,.5347,.4653
"2022-07-28",.3807,.6193,.5714,.4286
"2022-07-29",.3705,.6295,.5946,.4054
"2022-07-30",.3791,.6209,.6161,.3839
"2022-07-31",.3745,.6255,.6389,.3611
"2022-08-01",.3813,.6187,.6602,.3398
"2022-08-02",.3675,.6325,.5865,.4135
"2022-08-03",.3855,.6145,.6210,.3790
"2022-08-04",.3777,.6223,.6148,.3852
"2022-08-05",.3782,.6218,.5948,.4052
"2022-08-06",.3573,.6427,.6055,.3945
"2022-08-07",.3556,.6444,.6036,.3964
"2022-08-08",.3706,.6294,.6455,.3545
"2022-08-09",.3845,.6155,.6571,.3429
"2022-08-10",.3821,.6179,.6460,.3540
"2022-08-11",.3844,.6156,.7027,.2973
"2022-08-12",.3792,.6208,.6518,.3482
"2022-08-13",.3777,.6223,.7143,.2857
"2022-08-14",.3675,.6325,.6289,.3711
"2022-08-15",.3659,.6341,.6100,.3900
"2022-08-16",.3820,.6180,.6154,.3846
"2022-08-17",.3879,.6121,.6061,.3939
"2022-08-18",.3791,.6209,.6111,.3889
"2022-08-19",.3622,.6378,.6020,.3980
"2022-08-20",.3832,.6168,.6484,.3516
"2022-08-21",.3745,.6255,.5980,.4020
"2022-08-22",.3697,.6303,.6383,.3617
"2022-08-23",.3638,.6362,.6337,.3663
"2022-08-24",.3725,.6275,.5739,.4261
"2022-08-25",.3485,.6515,.6176,.3824
"2022-08-26",.3466,.6534,.6429,.3571
"2022-08-27",.3498,.6502,.6289,.3711
"2022-08-28",.3418,.6582,.6250,.3750
"2022-08-29",.3605,.6395,.6064,.3936
"2022-08-30",.3674,.6326,.6421,.3579
"2022-08-31",.3619,.6381,.6214,.3786
"2022-09-01",.3573,.6427,.6000,.4000
"2022-09-02",.3433,.6567,.5287,.4713
"2022-09-03",.3455,.6545,.5732,.4268
"2022-09-04",.3577,.6423,.6486,.3514
"2022-09-05",.3617,.6383,.6829,.3171
"2022-09-06",.3691,.6309,.6588,.3412
"2022-09-07",.3747,.6253,.6264,.3736
"2022-09-08",.3612,.6388,.5714,.4286
"2022-09-09",.3470,.6530,.5904,.4096
"2022-09-10",.3478,.6522,.5730,.4270
"2022-09-11",.3469,.6531,.6118,.3882
"2022-09-12",.3382,.6618,.5714,.4286
"2022-09-13",.3573,.6427,.6186,.3814
"2022-09-14",.3562,.6438,.5474,.4526
"2022-09-15",.3427,.6573,.5618,.4382
"2022-09-16",.3622,.6378,.5568,.4432
"2022-09-17",.3396,.6604,.5833,.4167
"2022-09-18",.3567,.6433,.5679,.4321
"2022-09-19",.3480,.6520,.5263,.4737
"2022-09-20",.3547,.6453,.5581,.4419
"2022-09-21",.3562,.6438,.4787,.5213
"2022-09-22",.3597,.6403,.5000,.5000
"2022-09-23",.3542,.6458,.5176,.4824
"2022-09-24",.3626,.6374,.5301,.4699
"2022-09-25",.3496,.6504,.5976,.4024
"2022-09-26",.3742,.6258,.6000,.4000
"2022-09-27",.3849,.6151,.6118,.3882
"2022-09-28",.3877,.6123,.4273,.5727
"2022-09-29",.3888,.6112,.5368,.4632
"2022-09-30",.3806,.6194,.5745,.4255
"2022-10-01",.3842,.6158,.4872,.5128
"2022-10-02",.3640,.6360,.5638,.4362
"2022-10-03",.3636,.6364,.6000,.4000
"2022-10-04",.3788,.6212,.6889,.3111
"2022-10-05",.3830,.6170,.6275,.3725
"2022-10-06",.3698,.6302,.6484,.3516
"2022-10-07",.3608,.6392,.6591,.3409
"2022-10-08",.3732,.6268,.6585,.3415
"2022-10-09",.3695,.6305,.6386,.3614
